"Africa"
"Asia"
"Austria "
"Australia"
"Belgium "
"Bulgaria "
"Croatia "
"Cyprus "
"Czech Republic "
"Denmark "
"Estonia "
"Finland "
"France "
"Germany "
"Greece "
"Hungary "
"Ireland "
"Israel"
"Italy"
"Latin-America"
"Latvia"
"Lithuania"
"Luxembourg"
"Malta"
"Netherlands"
"Poland"
"Portugal"
"Romania"
"Slovakia"
"Slovenia"
"Spain"
"Sub-Saharan Africa"
"Sweden"
"United Kingdom"
"United States"
"India"
"Other"
"EU28"
"China"
"Canada"
