On-location client-determined routine work
On-location platform-determined routine work
On-location client-determined moderately skilled work
On-location worker-initiated moderately skilled work
Online moderately skilled click work
On-location client- determined higher-skilled work
On-location platform-determined higher-skilled work
Online platform-determined higher-skilled work
Online client-determined specialist work
Online contestant specialist work
