99Designs
Aanhuisgebracht
Airbnb
Airtasker
Amazon Mechanical Turk
AnyJobby
AppJobber
Axiom
BlaBlacar
Book a tiger
Booking
Brenger
Bsit
Buurtleren
Care.com
Casa.it
Chabber
Clickworker
CloudFactory
CoContest
CrowdComputing Systems
Crowdcube
CrowdFlower
CrowdSource
Daemo
Deliveroo
Didi
Epweike
Fiverr
Fooddrop
Foodora
FouleFactory
FundedByMe
Freelancer
Getaround
Gigwalk
Glovo
GoMore
GoPillar
Guru
Handy
HappyHelper
Hassle
Helpling
HopWork/Malt
Hyve
IBM
IdeaStorm
Iemand.nl
InnoCentive
Jovoto
Just Cargo
Just Eat
K68.cn
Kickstarter
ListMinut
Local Motion
Lyft
Microworkers
MobileWorks 
MyBuilder
Nubelo
Ola
Phantominds
Pawshake
PeoplePerHour
Petbnb
Petme
PickThisUp
Pimlico Plumbers
Quirky
RatedPeople
Roamler
Seedmatch
Seedrs
SitterCity
Sjipit
Smartspotter
Spride
Subito.it
Superbuddy
SuperMano
Symbid
TaskCN
TaskRabbit
Temper
TestIO
Threadless
Thuisbezorgd
Tring Tring
Uber
UberEats
UrbanSitter
Upwork
Vikecn
Werkspot
Wiseed
Wonolo
Zhubajie
Zimride
Zipcar
